'an'gou 暗沟
'lu'ji'bian'po'wen'ding 路基边坡稳定
'lu'ji'bian'po'wen'ding'xing 路基边坡稳定性
'lu'ji'bing'hai 路基病害
'lu'ji'bu'jun'yun'dong'zhang 路基不均匀冻胀
'lu'ji'chao'shi'zhuang'tai 路基潮湿状态
'lu'ji'chu'li'fang'fa'fen'lei 路基处理方法分类
'lu'ji'ding'mian'biao'gao 路基顶面标高
'lu'ji'fen'lei 路基分类
'lu'ji'ge'jie'shui 路基隔截水
'lu'ji'gong'neng 路基功能
'lu'ji'guo'shi'zhuang'tai 路基过湿状态
'lu'ji'jie'gou'te'zheng 路基结构特征
'lu'ji'kang'chong'shua'neng'li 路基抗冲刷能力
'lu'ji'pai'shui 路基排水
'lu'ji'ruan'hua 路基软化
'lu'ji'tian'liao'yao'qiu 路基填料要求
'lu'ji'tu'gu'jie 路基土固结
'lu'ji'wen'ding'xing 路基稳定性
'lu'ji'yan'zhang 路基盐胀
'lu'mian'fang'xing 路面放行
'lu'mian'jie'gou'ceng 路面结构层
'lu'mian'jie'gou'te'zheng 路面结构特征
'lu'mian'jie'gou'zu'cheng 路面结构组成
'lu'mian'kai'lie 路面开裂
'lu'mian'shi'yong'xing'neng 路面使用性能
'lu'mian'zao'qi'ta'xian 路面早期塌陷
'lu'qian 路堑
'lu'yong'gong'neng 路用功能
'luan'shi 卵石
'lv'se'jian'zao 绿色建造
'lv'se'jian'zao'ji'shi'gong'xian'chang'huan'jing'guan'li 绿色建造及施工现场环境管理
'mai'cang'qian 埋藏浅
'mai'cang'tiao'jian 埋藏条件
'mao'xi'shui 毛细水
'mao'xi'zuo'yong 毛细作用
'mi'feng'cuo'shi 密封措施
'mi'ji'pei 密级配
'mi'ji'pei'li'liao 密级配粒料
'mi'shi 密实
'mian'ceng 面层
'mian'ceng'cai'liao'zhong'lei 面层材料种类
'mian'ceng'hou'du'bu'zu 面层厚度不足
'mian'ceng'jiao'yu 面层角隅
'mian'ceng'jie'gou 面层结构
'mian'ceng'jie'gou'zu'he 面层结构组合
'mian'ceng'lei'xing 面层类型
'mian'ceng'lu'mian'shi'yong'zhi'biao 面层路面使用指标
'ming'wa'fa'shi'gong 明挖法施工
'mo'guang'zhi 磨光值
'mo'hao'ceng 磨耗层
'nai'jiu 耐久
'nai'jiu'xing 耐久性
'nai'lao'hua'ji 耐老化剂
'ni'tan 泥炭
'ni'zhong'li'fang'xiang 逆重力方向
'nian'ya'hun'ning'tu 碾压混凝土
'nian'ya'hun'ning'tu'ji'ceng 碾压混凝土基层
'nian'ya'ji'hang'shi 碾压及夯实
'pai'shui'bu'liang 排水不良
'pai'shui'cuo'shi 排水措施
'pai'shui'dian'ceng 排水垫层
'pai'shui'gong'zuo 排水工作
'pai'shui'gu'jie 排水固结
'pai'shui'ji'ceng 排水基层
'pai'shui'jiang'zao'gong'neng 排水降噪功能
'pai'shui'li'qing'hun'he'liao 排水沥青混合料
'pai'shui'shen'gou 排水渗沟
'pai'xie 排泄
'pai'xie'fang'shi 排泄方式
'pan'bie'tu'ruan'ying'cheng'du 判别土软硬程度
'pei'jin'bu'qiang 配筋补强
'pin'hun'ning'tu 贫混凝土
'pin'zhong 品种
'ping'zheng'du 平整度
'po'huai 破坏
'po'sui'li'shi 破碎砾石
'pu'tong'gui'suan'yan'shui'ni 普通硅酸盐水泥
'pu'tong'tu 普通土
'qi'che'xing'shi'tiao'jian 汽车行驶条件
'qi'che'yun'shu'yao'qiu 汽车运输要求
'qi'hou'ying'xiang 气候影响
'qi'kuai'lu'mian 砌块路面
'qi'kuai'lu'mian'jie'gou'zu'cheng'te'dian 砌块路面结构组成特点
'qi'lei'tu 七类土
'qi'rong'jiao 气溶胶
'qi'tai 气态
'qian'mai'an'wa'fa'sui'dao'shi'gong 浅埋暗挖法隧道施工
'qian'shi 潜蚀
'qian'shui 潜水
'qian'shui'bu'gei 潜水补给
'qian'shui'kuang'hua'du 潜水矿化度
'qiang'da'hang'ji'neng 强大夯击能
'qiang'du 强度
'qiang'du'deng'ji 强度等级
'qiang'du'gao 强度高
'qiang'du'jiao'gao'cai'liao 强度较高材料
'qiang'du'ti'sheng 强度提升
'qiang'du'wen'ding'xing 强度稳定性
'qiang'du'zeng'zhang 强度增长
'qiang'hang 强夯
'qiang'hang'zhi'huan 强夯置换
'qiao'liang'gai'zao'shi'gong 桥梁改造施工
'qiao'liang'qiao'mian'xi'ji'fu'shu'jie'gou'shi'gong 桥梁桥面系及附属结构施工
'qiao'liang'zhi'zuo'shi'gong 桥梁支座施工
'qiao'qu 翘曲
'qing'jiao'tong 轻交通
'quan'lu'qian 全路堑
'que'xian 缺陷
're'ban'li'qing'hun'he'liao'mian'ceng 热拌沥青混合料面层
're'ban'li'qing'sui'shi 热拌沥青碎石
're'ban'li'qing'wen'du 热拌沥青温度
're'shou'duan 热手段
'ren'xing'dao 人行道
'rou'xing'ban'cai 柔性板材
'rou'xing'cai'liao 柔性材料
'rou'xing'ji'ceng 柔性基层
'rou'xing'lu'mian 柔性路面
'ruan'ji'zhong'deng'mi'shi'nian'tu 软及中等密实黏土
'ruan'ni'hui'yan 软泥灰岩
'ruan'ruo'tu'qian'ceng'chu'li 软弱土浅层处理
'ruan'shi 软石
'ruan'su'zhuang'tai 软塑状态
'ruan'tu'ceng'huan'tian 软土层换填
'san'lei'tu 三类土
'sha'dian'ceng 砂垫层
'sha'jiang 砂浆
'sha'jing'yu'ya 砂井预压
'sha'li 砂砾
'sha'li'jian'tu 砂砾坚土
'sha'li'liao 砂砾料
'sha'li'zhuang 砂砾桩
'sha'shi'dian'ceng 砂石垫层
'sha'tu 砂土
'sha'zhi'liang 砂质量
'sha'zhuang 砂桩
'shang'ceng'zhi'shui 上层滞水
'shang'ji'ceng 上基层
'shang'mian'ceng 上面层
'shang'sheng'gao'du 上升高度
'shang'sheng'quan 上升泉
'shang'zhong'xia'mian'ceng 上中下面层
'she'ji'yao'qiu 设计要求
'shen'ceng'jiao'ban 深层搅拌
'shen'gou'she'zhi 渗沟设置
'shen'lou'shui 渗漏水
'shen'tou'xing'ji'di'ni'tan'tu 渗透性极低泥炭土
'sheng'chan'chang'pai'hao 生产厂牌号
'sheng'huo'la'ji'fen'shao'chang'shi'gong 生活垃圾焚烧厂施工
'sheng'huo'la'ji'tian'mai'shi'gong 生活垃圾填埋施工
'sheng'wang'yue'shu 绳网约束
'shi'fang'lu'ji 石方路基
'shi'gong'an'quan'guan'li 施工安全管理
'shi'gong'an'quan'guan'li'yao'dian 施工安全管理要点
'shi'gong'ce'liang 施工测量
'shi'gong'ce'liang'ji'jun'gong'ce'liang 施工测量及竣工测量
'shi'gong'ce'liang'zhu'yao'nei'rong'yu'chang'yong'yi'qi 施工测量主要内容与常用仪器
'shi'gong'cheng'ben'guan'li 施工成本管理
'shi'gong'fang'fa'yu'jie'gou'xing'shi 施工方法与结构形式
'shi'gong'feng 施工缝
'shi'gong'ji'jie 施工季节
'shi'gong'jian'ce 施工监测
'shi'gong'jin'du'guan'li 施工进度管理
'shi'gong'jin'du'ji'hua'bian'zhi'yu'tiao'zheng 施工进度计划编制与调整
'shi'gong'wen'du 施工温度
'shi'gong'xian'chang'huan'jing'guan'li 施工现场环境管理
'shi'gong'xiang'mu'guan'li'ji'gou 施工项目管理机构
'shi'gong'zhi'liang'guan'li 施工质量管理
'shi'gong'zhi'liang'kong'zhi 施工质量控制
'shi'gong'zu'zhi'she'ji 施工组织设计
'shi'hui 石灰
'shi'hui'fen'mei'hui'gang'zha'wen'ding'tu'lei'ji'ceng 石灰粉煤灰钢渣稳定土类基层
'shi'hui'fen'mei'hui'wen'ding'lei'cai'liao 石灰粉煤灰稳定类材料
'shi'hui'fen'mei'hui'wen'ding'li'liao 石灰粉煤灰稳定粒料
'shi'hui'fen'mei'hui'wen'ding'sha'li'ji'ceng 石灰粉煤灰稳定砂砾基层
'shi'hui'wen'ding'lei'cai'liao 石灰稳定类材料
'shi'hui'wen'ding'tu'lei'ji'ceng 石灰稳定土类基层
'shi'hui'zhuang 石灰桩
'shi'run'di'qu 湿润地区
'shi'xian'xing'huang'tu 湿陷性黄土
'shi'xie 石屑
'shi'yong'nian'xian 使用年限
'shi'you'zi'yuan'xiao'hao 石油资源消耗
'shi'zheng'gong'yong'gong'cheng 市政公用工程
'shi'zheng'gong'yong'gong'cheng'ji'shu 市政公用工程技术
